Wall time,Step,Value
1753365656.7484403,169984,-1051.6400146484375
1753365658.9049597,172032,-1050.050048828125
1753365661.5729957,174080,-1047.0899658203125
1753365663.584494,176128,-1042.5899658203125
1753365665.5857613,178176,-1046.4300537109375
1753365667.707238,180224,-1047.5899658203125
1753365669.9050584,182272,-1053.4000244140625
1753365671.9677935,184320,-1052.3900146484375
1753365674.1385374,186368,-1045.18994140625
1753365676.3224628,188416,-1047.239990234375
1753365678.4329326,190464,-1048.22998046875
1753365680.3058834,192512,-1052.2099609375
1753365682.2035508,194560,-1053.949951171875
1753365684.0202265,196608,-1048.050048828125
1753365685.7869751,198656,-1057.4300537109375
1753365687.6366901,200704,-1045.9200439453125
1753365689.4081924,202752,-1047.8199462890625
1753365691.1840594,204800,-1050.4100341796875
1753365693.108357,206848,-1050.5799560546875
1753365694.9293613,208896,-1043.6500244140625
1753365696.7899053,210944,-1047.6600341796875
1753365698.6482432,212992,-1050.93994140625
1753365700.4193792,215040,-1048.8299560546875
1753365702.2143614,217088,-1058.1600341796875
1753365704.0539446,219136,-1049.3800048828125
1753365705.8497505,221184,-1047.969970703125
1753365707.7135348,223232,-1044.77001953125
1753365709.5002236,225280,-1043.6500244140625
1753365711.4543607,227328,-1045.1700439453125
1753365713.4360476,229376,-1045.0699462890625
1753365715.3730946,231424,-1048.1300048828125
1753365717.2635963,233472,-1049.1300048828125
1753365719.2009373,235520,-1049.68994140625
1753365721.1618743,237568,-1046.550048828125
1753365723.0621667,239616,-1046.5999755859375
1753365724.9957364,241664,-1046.9100341796875
1753365726.976459,243712,-1043.449951171875
1753365728.8681078,245760,-1044.1800537109375
1753365730.7883916,247808,-1048.8199462890625
1753365732.8324559,249856,-1041.5999755859375
1753365734.9838145,251904,-1045.739990234375
1753365737.1329312,253952,-1046.8299560546875
1753365739.3220918,256000,-1046.4100341796875
1753365741.4203334,258048,-1045.3800048828125
1753365743.496698,260096,-1040.280029296875
1753365745.3553476,262144,-1041.47998046875
1753365747.1633248,264192,-1049.3800048828125
1753365748.942247,266240,-1044.56005859375
1753365750.7731411,268288,-1049.0
1753365752.6004548,270336,-1046.0
1753365754.3598425,272384,-1046.27001953125
1753365756.1955128,274432,-1044.2900390625
1753365757.9905465,276480,-1043.6199951171875
1753365759.732825,278528,-1057.780029296875
1753365761.5493212,280576,-1046.4599609375
1753365763.312742,282624,-1047.3699951171875
1753365765.0969944,284672,-1048.6400146484375
1753365766.902403,286720,-1044.4599609375
1753365768.654838,288768,-1044.1700439453125
1753365770.4779692,290816,-1042.56005859375
1753365772.2701852,292864,-1043.300048828125
1753365774.0208342,294912,-1045.469970703125
1753365775.8280864,296960,-1048.7900390625
1753365777.6621509,299008,-1039.18994140625
1753365779.4047878,301056,-1041.4300537109375
1753365781.251611,303104,-1043.56005859375
1753365783.05304,305152,-1040.56005859375
1753365784.8501794,307200,-1043.0799560546875
1753365786.6693091,309248,-1041.050048828125
1753365788.435543,311296,-1041.449951171875
1753365790.216276,313344,-1042.9100341796875
1753365792.040139,315392,-1037.75
1753365793.8996077,317440,-1037.800048828125
1753365795.7161095,319488,-1033.9300537109375
1753365797.5501657,321536,-1041.800048828125
1753365799.291912,323584,-1043.5999755859375
1753365801.0794888,325632,-1037.52001953125
1753365802.8730333,327680,-1037.25
1753365804.649223,329728,-1032.9300537109375
1753365806.4807236,331776,-1042.260009765625
1753365808.2609253,333824,-1038.93994140625
1753365810.0153744,335872,-1042.1199951171875
1753365811.8734987,337920,-1036.75
1753365813.703441,339968,-1036.239990234375
1753365815.4827645,342016,-1039.31005859375
1753365817.300747,344064,-1036.8399658203125
1753365819.169625,346112,-1036.72998046875
1753365820.9118261,348160,-1039.8699951171875
1753365822.7380595,350208,-1040.8499755859375
1753365824.4608164,352256,-1040.530029296875
1753365826.2547789,354304,-1040.5699462890625
1753365828.0682168,356352,-1039.9300537109375
1753365829.787199,358400,-1038.489990234375
1753365831.6110957,360448,-1039.1300048828125
1753365833.4031284,362496,-1043.06005859375
1753365835.171996,364544,-1042.4000244140625
1753365837.003663,366592,-1038.68994140625
1753365838.7897327,368640,-1044.6500244140625
1753365840.5496242,370688,-1038.0699462890625
1753365842.369947,372736,-1040.8499755859375
1753365844.13253,374784,-1041.3199462890625
1753365845.9242508,376832,-1040.52001953125
1753365847.7708776,378880,-1037.9599609375
1753365849.5426283,380928,-1044.3900146484375
1753365851.3691669,382976,-1042.5999755859375
1753365853.2174923,385024,-1032.6300048828125
1753365855.1555536,387072,-1034.6500244140625
1753365858.1674948,389120,-1041.2099609375
1753365860.4302032,391168,-1040.6199951171875
1753365862.5492263,393216,-1041.969970703125
1753365864.5891962,395264,-1041.0
1753365866.5850556,397312,-1041.8199462890625
1753365868.751539,399360,-1036.8699951171875
1753365870.626673,401408,-1044.68994140625
1753365872.5860505,403456,-1036.8800048828125
1753365874.710781,405504,-1043.22998046875
1753365876.9266512,407552,-1039.949951171875
1753365878.9739516,409600,-1039.3599853515625
1753365880.9867551,411648,-1049.47998046875
1753365883.0719297,413696,-1033.469970703125
1753365885.2138903,415744,-1044.6400146484375
1753365887.1539953,417792,-1035.199951171875
1753365889.1230175,419840,-1034.8900146484375
1753365891.3151853,421888,-1040.489990234375
1753365893.2963958,423936,-1042.5400390625
1753365895.5205982,425984,-1038.5
1753365897.3523772,428032,-1042.050048828125
1753365899.1750257,430080,-1045.97998046875
1753365900.9590487,432128,-1036.949951171875
1753365902.7941604,434176,-1034.0899658203125
1753365904.6115062,436224,-1044.3800048828125
1753365906.375251,438272,-1043.72998046875
1753365908.2034664,440320,-1032.5699462890625
1753365909.9735453,442368,-1033.0799560546875
1753365911.715583,444416,-1037.7099609375
1753365913.5437715,446464,-1040.5699462890625
1753365915.3461287,448512,-1036.8299560546875
1753365917.1285393,450560,-1048.1199951171875
1753365918.9401827,452608,-1041.8199462890625
1753365920.7240915,454656,-1037.1600341796875
1753365922.5205843,456704,-1035.9200439453125
1753365924.3636022,458752,-1040.22998046875
1753365926.1379259,460800,-1042.550048828125
1753365927.9185672,462848,-1039.6700439453125
1753365929.719205,464896,-1036.489990234375
1753365931.493568,466944,-1035.1400146484375
1753365933.3242922,468992,-1037.3699951171875
1753365935.150493,471040,-1037.969970703125
1753365936.9129884,473088,-1032.52001953125
1753365938.7568839,475136,-1032.0899658203125
1753365940.572229,477184,-1036.4000244140625
1753365942.3252351,479232,-1033.530029296875
1753365944.147933,481280,-1038.1800537109375
1753365945.922151,483328,-1046.8499755859375
1753365947.7231157,485376,-1039.800048828125
1753365949.5122466,487424,-1034.1600341796875
1753365951.281908,489472,-1038.1600341796875
1753365953.121733,491520,-1041.719970703125
1753365955.0190506,493568,-1041.31005859375
1753365956.9191406,495616,-1037.3800048828125
1753365958.7512963,497664,-1040.800048828125
1753365960.715071,499712,-1037.300048828125
1753365962.482841,501760,-1033.4100341796875
