Wall time,Step,Value
1753439324.9549744,137216,-138750.203125
1753439326.757539,139264,-135881.203125
1753439328.8108418,141312,-135782.015625
1753439330.69953,143360,-136833.09375
1753439332.4932415,145408,-132500.5625
1753439334.3846154,147456,-131939.25
1753439336.2241013,149504,-133487.953125
1753439338.0551221,151552,-131923.296875
1753439339.9642866,153600,-132673.359375
1753439341.801043,155648,-134146.15625
1753439343.593426,157696,-139369.125
1753439345.49429,159744,-136671.609375
1753439347.3292437,161792,-136468.421875
1753439349.1973166,163840,-134036.109375
1753439351.1214838,165888,-131443.453125
1753439353.0317266,167936,-129660.3203125
1753439355.1788962,169984,-127722.15625
1753439357.248473,172032,-126982.890625
1753439359.5204282,174080,-120535.421875
1753439361.7142408,176128,-123427.171875
1753439363.7372854,178176,-127140.90625
1753439365.8825648,180224,-133852.703125
1753439368.175927,182272,-135274.109375
1753439370.327631,184320,-134997.859375
1753439372.2069418,186368,-135022.46875
1753439374.1317606,188416,-136973.046875
1753439376.00369,190464,-141547.890625
1753439377.8782454,192512,-144307.5625
1753439379.910587,194560,-141212.296875
1753439382.0053182,196608,-137575.953125
1753439384.385011,198656,-138319.625
1753439386.380889,200704,-142358.296875
1753439388.3888688,202752,-144232.4375
1753439390.4684513,204800,-144278.484375
1753439392.8058434,206848,-141812.59375
1753439395.134893,208896,-139223.90625
1753439397.229786,210944,-139513.515625
1753439399.332176,212992,-141755.609375
1753439401.8892548,215040,-144381.875
1753439404.9130194,217088,-142621.109375
1753439407.1832561,219136,-141615.796875
1753439410.331999,221184,-141479.703125
1753439412.4702044,223232,-142298.78125
1753439414.5686169,225280,-143855.203125
1753439416.700831,227328,-144088.265625
1753439418.6506162,229376,-145022.359375
1753439420.5956068,231424,-140234.453125
1753439422.6163843,233472,-137404.421875
1753439424.4412496,235520,-133934.328125
1753439426.3770292,237568,-134504.09375
1753439428.3278677,239616,-135140.234375
1753439430.1635103,241664,-135086.625
1753439432.0724273,243712,-133465.734375
1753439434.054852,245760,-132750.046875
1753439436.362314,247808,-135918.90625
1753439438.544576,249856,-136754.890625
1753439440.9636555,251904,-140702.34375
1753439443.2908564,253952,-140030.71875
1753439445.7107046,256000,-140592.90625
1753439447.9409082,258048,-138425.265625
1753439450.2565687,260096,-142348.984375
1753439452.6957529,262144,-139637.140625
1753439457.7700179,264192,-138974.421875
1753439461.0343802,266240,-137820.390625
1753439463.2461863,268288,-136667.09375
1753439465.5963573,270336,-139570.046875
1753439468.212668,272384,-136851.328125
1753439470.779565,274432,-139431.6875
1753439473.3853111,276480,-140974.25
1753439475.7465,278528,-142479.796875
1753439478.021231,280576,-143620.9375
1753439480.6459002,282624,-144673.28125
1753439483.1365433,284672,-145775.203125
1753439485.7647996,286720,-143751.5625
1753439487.9668243,288768,-142028.578125
1753439490.0074494,290816,-144209.5625
1753439491.8637335,292864,-144243.09375
1753439493.7501574,294912,-142165.515625
1753439495.7157204,296960,-142456.796875
1753439497.819084,299008,-142364.609375
1753439499.8821197,301056,-142574.0
1753439501.723583,303104,-143063.421875
1753439503.7087312,305152,-141913.125
1753439506.3660479,307200,-138816.28125
1753439508.6555479,309248,-139672.609375
1753439510.7660265,311296,-134282.53125
1753439512.9422317,313344,-130045.2109375
1753439514.8643854,315392,-126721.171875
1753439516.8098652,317440,-125858.4921875
1753439519.021988,319488,-127076.7109375
1753439521.1278923,321536,-126449.421875
1753439523.1342566,323584,-128435.0625
1753439525.3461993,325632,-125444.78125
1753439527.5225728,327680,-127767.9765625
1753439529.3673863,329728,-128461.171875
1753439531.252404,331776,-132743.984375
1753439533.0591986,333824,-135773.046875
1753439534.9195223,335872,-134261.84375
1753439536.8352463,337920,-138214.9375
1753439539.1189713,339968,-134510.65625
1753439540.983721,342016,-138688.28125
1753439542.8585198,344064,-140089.65625
1753439544.814265,346112,-141597.046875
1753439546.7565403,348160,-141646.703125
1753439548.7449815,350208,-139084.828125
1753439550.6830275,352256,-133357.359375
1753439552.5780644,354304,-130067.4765625
1753439554.4920666,356352,-130994.703125
1753439556.3117254,358400,-128364.3671875
1753439558.1063118,360448,-131752.3125
1753439560.1126041,362496,-130784.3984375
1753439562.1491582,364544,-128376.3203125
1753439564.1940975,366592,-130322.078125
1753439566.1327572,368640,-130733.5625
1753439567.9977992,370688,-131256.984375
1753439569.8101404,372736,-133010.796875
1753439571.6668267,374784,-134052.203125
1753439573.5912225,376832,-131674.578125
1753439575.4286742,378880,-129800.4921875
1753439577.3943093,380928,-130212.2265625
1753439579.315924,382976,-125292.328125
1753439581.100395,385024,-129548.546875
1753439582.985148,387072,-132758.359375
1753439584.8815947,389120,-126961.9921875
1753439586.774241,391168,-130204.34375
1753439588.6171737,393216,-132231.640625
1753439590.5542505,395264,-135626.96875
1753439592.4401057,397312,-138275.453125
1753439594.2699645,399360,-142514.9375
1753439596.254025,401408,-141994.953125
1753439598.111244,403456,-139849.1875
1753439599.9559844,405504,-143395.0625
1753439601.9006326,407552,-148076.078125
1753439603.7468567,409600,-146762.0625
1753439605.6443603,411648,-144034.015625
1753439607.5120857,413696,-141627.90625
1753439609.344785,415744,-143804.296875
1753439611.2173626,417792,-145791.875
1753439613.145168,419840,-143625.4375
1753439615.0097923,421888,-145958.5
1753439616.8657024,423936,-146790.796875
1753439618.8013785,425984,-144038.859375
1753439620.6088588,428032,-147040.03125
1753439622.4177787,430080,-146612.640625
1753439624.3327918,432128,-144491.46875
1753439626.2711976,434176,-142851.703125
1753439628.118273,436224,-139187.421875
1753439630.0253036,438272,-141449.203125
1753439631.8620555,440320,-140887.9375
1753439633.6066792,442368,-138621.265625
1753439635.538046,444416,-138231.375
1753439637.420747,446464,-138597.046875
1753439639.2332735,448512,-140012.1875
1753439641.336723,450560,-139269.53125
1753439643.4527035,452608,-142473.9375
1753439645.2811136,454656,-137889.09375
1753439647.1073842,456704,-138799.78125
1753439648.9998708,458752,-138829.0
1753439650.8741596,460800,-136029.40625
1753439652.7671902,462848,-133283.84375
1753439654.8515062,464896,-131529.0625
1753439657.1528435,466944,-129860.359375
1753439659.112515,468992,-128874.8828125
1753439661.0484874,471040,-125115.2734375
1753439662.99111,473088,-123847.171875
1753439664.8911896,475136,-124927.1796875
1753439666.9445632,477184,-127000.7734375
1753439668.979744,479232,-128229.6328125
1753439670.8802614,481280,-129548.328125
1753439672.8281553,483328,-131510.359375
1753439674.816445,485376,-131542.3125
1753439676.8929842,487424,-134525.296875
1753439678.7131617,489472,-135960.546875
1753439680.687872,491520,-138461.5625
1753439683.4958372,493568,-136739.234375
1753439685.4529316,495616,-136766.484375
1753439687.5379875,497664,-136439.09375
1753439690.1867738,499712,-133451.984375
1753439692.966021,501760,-129042.9296875
