Wall time,Step,Value
1756734798.061259,421,310.8333435058594
1756734798.115677,784,346.25
1756734798.5192406,1479,143.1666717529297
1756734798.7321694,1750,250.0625
1756734799.0194519,2102,275.54998779296875
1756734799.57872,2838,201.27777099609375
1756734799.866608,3218,231.70237731933594
1756734800.2960105,3851,213.4791717529297
1756734800.6343927,4349,220.73147583007812
1756734800.9814823,4872,218.93333435058594
1756734801.6886024,5874,150.6666717529297
1756734801.9597394,6229,167.75
1756734802.243568,6609,183.4166717529297
1756734802.413766,6823,207.40475463867188
1756734802.726133,7326,199.022216796875
1756734803.0542386,7872,196.8333282470703
1756734803.580959,8639,170.44607543945312
1756734803.9613626,9271,157.73147583007812
1756734804.242101,9661,167.94297790527344
1756734804.4925623,10006,181.3874969482422
1756734804.825617,10449,188.48016357421875
1756734805.4734573,11227,167.1704559326172
1756734805.6730623,11502,183.409423828125
1756734805.938419,11897,193.34722900390625
1756734806.2216222,12322,199.59666442871094
1756734806.4763684,12707,205.336669921875
1756734807.4731634,14262,130.75332641601562
1756734808.1887224,15285,119.01000213623047
1756734809.2236657,16895,39.61000061035156
1756734809.5502605,17416,29.446666717529297
1756734809.920772,18001,41.7400016784668
1756734810.2898831,18485,33.21666717529297
1756734811.0072913,19296,20.873332977294922
1756734811.895657,19887,15.369999885559082
1756734812.1756165,20148,33.880001068115234
1756734813.7646515,21352,15.25666618347168
1756734814.2400467,21728,13.833333015441895
1756734814.6933527,22121,10.993332862854004
1756734816.2097425,22827,-22.816667556762695
1756734816.5656912,23147,-6.883333206176758
1756734817.9997268,24203,-34.22666549682617
1756734818.5918345,24586,-11.09666633605957
1756734819.3437796,25259,-12.720000267028809
1756734819.6917024,25669,-15.383333206176758
1756734820.4814003,26301,-34.12333297729492
1756734821.0540133,26846,-35.25
1756734821.4831493,27204,-5.0966668128967285
1756734822.0537746,27885,-29.399999618530273
1756734822.6161542,28632,-45.83000183105469
1756734823.0006094,29229,-56.5533332824707
1756734823.2071152,29524,-54.790000915527344
1756734823.5094762,29910,21.06333351135254
1756734824.172651,30803,30.420000076293945
1756734824.5014417,31182,106.06666564941406
1756734824.983711,31730,108.37333679199219
1756734825.2275207,32056,119.6433334350586
1756734825.4310012,32321,131.06666564941406
1756734826.6071374,32822,146.6199951171875
1756734827.2051668,33347,145.72000122070312
1756734827.5600884,33786,132.33999633789062
1756734828.2558062,34705,157.92666625976562
1756734828.6197753,35215,157.94667053222656
1756734828.8683045,35573,164.86666870117188
1756734829.1837273,36051,189.51333618164062
1756734829.360836,36316,197.11000061035156
1756734829.9760623,37122,213.5933380126953
1756734831.6465473,37964,189.22666931152344
1756734832.396974,39027,163.1666717529297
1756734832.6702263,39390,165.95333862304688
1756734833.4563332,40409,144.30999755859375
1756734833.7328312,40717,147.586669921875
1756734834.376473,41540,117.836669921875
1756734834.7912464,42098,126.93000030517578
1756734835.1678998,42615,135.26333618164062
1756734835.5367055,43150,143.07666015625
1756734835.996483,43875,117.61000061035156
1756734836.398734,44491,101.22000122070312
1756734837.0819824,45347,95.80999755859375
1756734837.3957133,45656,93.67666625976562
1756734837.9693682,46302,85.50333404541016
1756734838.4806988,46980,70.1933364868164
1756734839.356269,48056,19.163333892822266
1756734839.6909738,48535,21.363332748413086
1756734840.4215639,49351,2.3366668224334717
1756734840.6330187,49601,10.973333358764648
1756734841.0250742,50141,31.836666107177734
1756734841.5354617,50878,11.536666870117188
1756734842.5510387,52125,-48.643333435058594
1756734842.8085477,52464,-43.16666793823242
1756734843.4108248,53172,-72.26333618164062
1756734843.618257,53435,-46.70333480834961
1756734844.0696688,53995,-28.093334197998047
1756734844.5721717,54670,2.9733333587646484
1756734845.4611123,56056,-59.540000915527344
1756734846.212954,57134,-63.84333419799805
1756734846.441458,57414,-58.54666519165039
1756734848.2996936,59840,-163.85000610351562
1756734848.702239,60423,-170.6699981689453
1756734849.0014825,60884,-170.94000244140625
1756734849.295978,61304,-163.32000732421875
1756734849.7499778,61877,-150.49000549316406
1756734851.0347922,63013,-182.8633270263672
1756734851.2142248,63306,-144.5366668701172
1756734851.706328,64047,-161.72999572753906
1756734851.9634054,64434,-146.7899932861328
1756734852.838365,65701,-183.163330078125
1756734853.2413075,66199,-144.3866729736328
1756734853.7299116,66877,-153.1566619873047
1756734854.1413157,67511,-140.7100067138672
1756734854.507314,68050,-157.9933319091797
1756734854.7101736,68351,-146.4499969482422
1756734855.1739173,69050,-144.48666381835938
1756734855.808096,69937,-117.30333709716797
1756734856.52962,70911,-153.35667419433594
1756734857.7830803,72796,-228.47666931152344
1756734858.3522468,73712,-264.5899963378906
1756734858.8232439,74330,-272.7966613769531
1756734859.234886,74895,-265.8033447265625
1756734859.83093,75707,-225.25
1756734860.0029192,75975,-176.6300048828125
1756734860.4829838,76715,-205.43333435058594
1756734861.3063478,77980,-124.3933334350586
1756734861.7586782,78689,-128.15333557128906
1756734862.3954413,79555,-148.14666748046875
1756734863.0144408,80350,-174.33999633789062
1756734863.7024627,81369,-200.8000030517578
1756734864.0100892,81860,-155.1133270263672
1756734864.3950834,82436,-167.0500030517578
1756734865.0256767,83255,-179.163330078125
1756734865.4261973,83801,-185.2899932861328
1756734865.9683886,84505,-159.7133331298828
1756734866.510919,85324,-176.14666748046875
1756734866.7894557,85730,-162.6300048828125
1756734867.1280048,86205,-147.413330078125
1756734867.4474502,86697,-146.27333068847656
1756734869.400728,88415,-227.75
1756734870.0217311,89125,-228.40333557128906
1756734870.8261447,90220,-236.98333740234375
1756734871.3286948,90782,-209.51333618164062
1756734872.2781737,91763,-151.55332946777344
1756734874.033181,93683,-215.98666381835938
1756734874.7394316,94302,-213.8300018310547
1756734875.3455145,94904,-223.59666442871094
1756734875.7288713,95434,-209.27000427246094
1756734876.1717293,96061,-229.1266632080078
1756734876.3903277,96360,-204.42666625976562
1756734876.922975,97127,-173.8333282470703
1756734877.6965582,98051,-181.76333618164062
1756734878.3996148,98911,-178.5
1756734878.8634844,99574,-175.82333374023438
1756734879.07072,99873,-134.85667419433594
1756734879.267067,100170,-126.23332977294922
1756734881.4150016,102981,-274.3666687011719
1756734881.954713,103731,-265.9100036621094
1756734882.1505594,103982,-253.54666137695312
1756734883.7191744,105950,-322.3800048828125
1756734884.4041297,106794,-332.5
1756734884.9315982,107489,-349.24334716796875
1756734885.3692687,108008,-355.9200134277344
1756734886.0408597,108745,-365.6333312988281
1756734886.8704422,109354,-297.63665771484375
1756734887.4830017,109792,-281.7933349609375
1756734888.085857,110359,-256.9466552734375
1756734888.728756,111010,-264.85333251953125
1756734890.8633845,113017,-331.3066711425781
1756734891.6849916,114020,-273.4166564941406
1756734891.9387531,114335,-254.73666381835938
1756734892.7817152,115144,-260.9466552734375
1756734893.1809056,115485,-250.19000244140625
1756734894.253123,116610,-281.51666259765625
1756734894.8399863,117207,-294.1666564941406
1756734895.6724863,117750,-283.8500061035156
1756734896.314507,118275,-263.6066589355469
1756734897.0310166,118962,-262.6766662597656
1756734898.7223518,120012,-281.8699951171875
1756734900.3634117,121339,-341.1766662597656
1756734901.1900399,122042,-361.4100036621094
1756734901.9793298,122792,-225.94000244140625
1756734903.143993,123938,-243.0433349609375
1756734903.6425848,124414,-248.4066619873047
1756734904.7135296,124941,-164.7133331298828
1756734905.7508426,125432,-134.60667419433594
1756734906.5455217,126233,-136.82666015625
1756734907.198177,127011,-151.8733367919922
1756734907.6060007,127536,-137.75999450683594
1756734908.2414477,128289,-143.30667114257812
1756734909.5508826,129520,-182.10333251953125
1756734910.2877278,130336,-189.05999755859375
1756734910.6712036,130805,-178.4600067138672
1756734911.2260754,131459,-95.29000091552734
1756734911.8680658,132054,-67.64666748046875
1756734912.5889049,132691,-82.19000244140625
1756734913.5678878,133681,-89.88999938964844
1756734913.7967422,133953,-87.50666809082031
1756734914.3662586,134556,-48.233333587646484
1756734914.7117028,134857,-32.12333297729492
1756734915.2222493,135256,-24.766666412353516
1756734915.8515391,135966,-32.75
1756734916.1983678,136368,-12.103333473205566
1756734917.6991088,138057,-54.6966667175293
1756734918.1914036,138506,-0.5300000309944153
1756734918.7327614,138998,10.5
1756734919.3074934,139601,17.65999984741211
1756734919.69605,140081,53.7400016784668
1756734920.2241197,140663,44.68333435058594
1756734920.592562,141008,52.54999923706055
1756734921.4080603,141774,36.130001068115234
1756734921.6617253,142049,61.30666732788086
1756734922.281667,142608,79.3499984741211
1756734923.3155706,143445,61.689998626708984
1756734923.9409347,143885,79.04000091552734
1756734924.884857,144561,112.60333251953125
1756734925.5078368,145104,128.89332580566406
1756734926.222431,145722,123.84333038330078
1756734927.1897042,146092,142.72999572753906
1756734928.6858282,146510,148.31666564941406
1756734930.0729008,146986,159.57000732421875
1756734930.9234319,147347,193.4933319091797
1756734932.6005383,148068,177.1266632080078
1756734933.7345579,148646,170.75332641601562
1756734934.9277337,149477,138.81333923339844
1756734935.3578072,149889,139.3633270263672
1756734935.9559164,150503,140.836669921875
1756734936.6727052,151387,113.17666625976562
1756734936.9888551,151795,194.42333984375
1756734937.6957855,152538,174.6366729736328
1756734938.3030484,153263,163.6133270263672
1756734938.6970255,153769,171.50999450683594
1756734939.114922,154340,163.99667358398438
1756734939.877103,155393,137.7933349609375
1756734940.1566396,155765,141.76666259765625
1756734940.609202,156361,153.16000366210938
1756734941.412249,157068,136.6366729736328
1756734941.9791996,157592,135.61666870117188
1756734942.8190312,158202,148.4499969482422
1756734943.4044857,158693,140.0399932861328
1756734945.0475636,159657,120.47666931152344
1756734945.645887,160053,127.663330078125
1756734946.520429,160608,124.98999786376953
1756734947.914131,161277,109.09666442871094
1756734948.5892065,161884,99.31999969482422
1756734949.4075117,162691,75.12000274658203
1756734950.313051,163582,47.60333251953125
1756734950.9408512,164232,47.973331451416016
1756734951.4331565,164561,63.51333236694336
1756734952.413251,165142,80.52333068847656
1756734957.7204664,166358,32.246665954589844
1756734958.670154,166947,40.50666809082031
1756734959.0393784,167221,75.25333404541016
1756734959.656235,167650,72.80000305175781
1756734960.4809234,168401,77.23332977294922
1756734961.1244857,168919,86.93000030517578
1756734961.8765697,169519,86.3133316040039
1756734962.4342592,170092,88.19999694824219
1756734962.859123,170523,124.83999633789062
1756734963.6525993,171307,100.11000061035156
1756734964.7594154,171705,111.78333282470703
1756734965.9546072,172702,86.9000015258789
1756734966.4003315,173260,81.49666595458984
1756734966.707068,173613,94.10333251953125
1756734967.2115722,174299,88.20999908447266
1756734967.6922147,174828,113.24666595458984
1756734968.2928557,175529,99.55000305175781
1756734968.902722,176333,93.61666870117188
1756734969.2888546,176881,105.12000274658203
1756734969.8509848,177687,96.0433349609375
1756734970.7846992,178790,93.20333099365234
1756734971.5875146,179736,89.84666442871094
1756734971.8703911,180148,98.45333099365234
1756734972.1267776,180484,101.50333404541016
